trainCO2,trainyear,testCO2,testyear
315.71,1958.2,377.03,2004
317.45,1958.3,377.82,2004.1
317.5,1958.4,378.75,2004.2
315.86,1958.5,380.42,2004.3
314.93,1958.6,380.65,2004.4
313.2,1958.7,379.53,2004.5
313.33,1958.9,377.61,2004.5
314.67,1959,376.51,2004.6
315.62,1959,374.28,2004.7
316.38,1959.1,374.46,2004.8
316.71,1959.2,375.96,2004.9
317.72,1959.3,377.45,2005
318.29,1959.4,378.46,2005
318.16,1959.5,379.74,2005.1
316.55,1959.5,381.04,2005.2
314.8,1959.6,382.19,2005.3
313.84,1959.7,382.44,2005.4
313.26,1959.8,382.16,2005.5
314.8,1959.9,380.75,2005.5
315.59,1960,378.71,2005.6
316.43,1960,376.65,2005.7
316.97,1960.1,376.98,2005.8
317.58,1960.2,378.28,2005.9
319.02,1960.3,379.89,2006
320.02,1960.4,381.4,2006
319.59,1960.5,382.12,2006.1
318.18,1960.5,382.64,2006.2
315.91,1960.6,384.68,2006.3
314.16,1960.7,384.93,2006.4
313.83,1960.8,384.04,2006.5
315,1960.9,382.33,2006.5
316.19,1961,380.38,2006.6
316.93,1961,378.86,2006.7
317.7,1961.1,379.12,2006.8
318.54,1961.2,380.14,2006.9
319.48,1961.3,381.68,2007
320.58,1961.4,382.9,2007
319.77,1961.5,383.79,2007.1
318.58,1961.5,384.51,2007.2
316.79,1961.6,386.35,2007.3
314.8,1961.7,386.53,2007.4
315.38,1961.8,386.01,2007.5
316.1,1961.9,384.46,2007.5
317.01,1962,381.92,2007.6
317.94,1962,380.83,2007.7
318.55,1962.1,381.12,2007.8
319.68,1962.2,382.4,2007.9
320.63,1962.3,383.97,2008
321.01,1962.4,385.41,2008
320.55,1962.5,385.72,2008.1
319.58,1962.5,385.93,2008.2
317.4,1962.6,387.17,2008.3
316.26,1962.7,388.49,2008.4
315.42,1962.8,387.8,2008.5
316.69,1962.9,386.16,2008.5
317.7,1963,384.16,2008.6
318.74,1963,383.07,2008.7
319.08,1963.1,382.98,2008.8
319.86,1963.2,384.11,2008.9
321.39,1963.3,385.51,2009
322.24,1963.4,386.93,2009
321.47,1963.5,387.41,2009.1
319.74,1963.5,388.76,2009.2
317.77,1963.6,389.46,2009.3
316.21,1963.7,390.18,2009.4
315.99,1963.8,389.42,2009.5
317.12,1963.9,387.79,2009.5
318.31,1964,385.93,2009.6
319.57,1964,384.77,2009.7
322.24,1964.4,384.38,2009.8
321.89,1964.5,385.99,2009.9
320.44,1964.5,387.19,2010
318.7,1964.6,388.51,2010
316.7,1964.7,389.85,2010.1
316.79,1964.8,391.01,2010.2
317.79,1964.9,392.49,2010.3
318.71,1965,392.96,2010.4
319.44,1965,392.03,2010.5
320.44,1965.1,390.1,2010.5
320.89,1965.2,388.15,2010.6
322.13,1965.3,386.8,2010.7
322.16,1965.4,387.18,2010.8
321.87,1965.5,388.59,2010.9
321.39,1965.5,389.68,2011
318.8,1965.6,391.21,2011
317.81,1965.7,391.77,2011.1
317.3,1965.8,392.4,2011.2
318.87,1965.9,,
319.42,1966,,
320.62,1966,,
321.59,1966.1,,
322.39,1966.2,,
323.87,1966.3,,
324.01,1966.4,,
323.75,1966.5,,
322.4,1966.5,,
320.37,1966.6,,
